St,Flav,
Alabama,Moose Tracks,
Alaska,Green Tea,
Arizona,Rocky Road,
Arkansas,Rum Raisin,
California,Rocky Road,
Colorado,Rocky Road,
Connecticut,Cookie Dough,
Delaware,Orange Sherbet,
Florida,Rum Raisin,
Georgia,Butter Pecan,
Hawaii,Green Tea,
Idaho,Rocky Road,
Illinois,Moose Tracks,
Indiana,Moose Tracks,
Iowa,Moose Tracks,
Kansas,Chocolate Chip,
Kentucky,Chocolate Chip,
Louisiana,Pistachio,
Maine,Green Tea,
Maryland,Orange Sherbet,
Massachusetts,Coffee,
Michigan,Moose Tracks,
Minnesota,Orange Sherbet,
Mississippi,Butter Pecan,
Missouri,Cookie Dough,
Montana,Rocky Road,
Nebraska,Orange Sherbet,
Nevada,Rocky Road,
New Hampshire,Coffee,
New Jersey,Green Tea,
New Mexico,Rocky Road,
New York,Rum Raisin,
North Carolina,Orange Sherbet,
North Dakota,Moose Tracks,
Ohio,Chocolate Chip,
Oklahoma,Orange Sherbet,
Oregon,Rocky Road,
Pennsylvania,Orange Sherbet,
Rhode Island,Coffee,
South Carolina,Moose Tracks,
South Dakota,Orange Sherbet,
Tennessee,Moose Tracks,
Texas,Rainbow Sherbet,
Utah,Rocky Road,
Vermont,Coffee,
Virginia,Orange Sherbet,
Washington,Rocky Road,
Washington,D.C.,Orange Sherbet
West Virginia,Orange Sherbet,
Wisconsin,Moose Tracks,
Wyoming,Rocky Road,
